category,parent,chart_name,chart_url
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Fibonacci Key Levels,Bitcoin Price & Fibonacci Retracements (2023-24),https://charts.checkonchain.com/btconchain/pricing/pricing_price_fibs_2023_24/pricing_price_fibs_2023_24_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Fibonacci Key Levels,Bitcoin Price & Fibonacci Retracements (2021 Bull),https://charts.checkonchain.com/btconchain/pricing/pricing_price_fibs_2021_rally/pricing_price_fibs_2021_rally_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Fibonacci Key Levels,Bitcoin Price & Fibonacci Retracements (2021-22 Cycle),https://charts.checkonchain.com/btconchain/pricing/pricing_price_fibs_2021_22/pricing_price_fibs_2021_22_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Fibonacci Key Levels,Bitcoin Price & Fibonacci Retracements (2022 Bear),https://charts.checkonchain.com/btconchain/pricing/pricing_price_fibs_2022_bear/pricing_price_fibs_2022_bear_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Fibonacci Key Levels,Bitcoin Price & Fibonacci Retracements (2019),https://charts.checkonchain.com/btconchain/pricing/pricing_price_fibs_2019/pricing_price_fibs_2019_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Inflation Adjusted Price,Bitcoin Inflation Adjusted Price (Todays Dollars),https://charts.checkonchain.com/btconchain/pricing/price_infadj_0/price_infadj_0_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Inflation Adjusted Price,Bitcoin Inflation Adjusted Price (2010 Dollars),https://charts.checkonchain.com/btconchain/pricing/price_infadj_1/price_infadj_1_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Inflation Adjusted Price,Bitcoin Inflation Adjusted Price (2020 Dollars),https://charts.checkonchain.com/btconchain/pricing/price_infadj_2/price_infadj_2_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Inflation Adjusted Price,Inflation Adjusted Drawdown (2020 Dollars),https://charts.checkonchain.com/btconchain/pricing/drawdown_infadj/drawdown_infadj_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,RHODL Ratio,RHODL Ratio,https://charts.checkonchain.com/btconchain/supply/rhodl/rhodl_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF AUM Balances,Bitcoin ETF AUM [BTC],https://charts.checkonchain.com/btconchain/etfs/etf_balance_0/etf_balance_0_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF AUM Balances,Bitcoin ETF AUM [USD],https://charts.checkonchain.com/btconchain/etfs/etf_balance_1/etf_balance_1_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF AUM Balances,Bitcoin ETF AUM Dominance,https://charts.checkonchain.com/btconchain/etfs/etf_balance_2/etf_balance_2_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF AUM Balances,Monochrome IBTC Bitcoin ETF AUM,https://charts.checkonchain.com/btconchain/etfs/monochrome/monochrome_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF Inflow/Outflow,Bitcoin ETF Daily Flows [BTC],https://charts.checkonchain.com/btconchain/etfs/etf_flows_0/etf_flows_0_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF Inflow/Outflow,Bitcoin ETF Daily Flows [USD],https://charts.checkonchain.com/btconchain/etfs/etf_flows_1/etf_flows_1_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF Inflow/Outflow,Total Bitcoin ETF Cumulative Flows [USD],https://charts.checkonchain.com/btconchain/etfs/etf_cumflows/etf_cumflows_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF Inflow/Outflow,Bitcoin ETF Weekly Flows [BTC],https://charts.checkonchain.com/btconchain/etfs/etf_flows_0_1w/etf_flows_0_1w_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF Inflow/Outflow,Bitcoin ETF Weekly Flows [USD],https://charts.checkonchain.com/btconchain/etfs/etf_flows_1_1w/etf_flows_1_1w_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF Inflow/Outflow,Bitcoin ETF Daily Flows [USD] In Profit/Loss,https://charts.checkonchain.com/btconchain/etfs/etf_flows_profitloss_1_1d/etf_flows_profitloss_1_1d_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF Inflow/Outflow,Bitcoin ETF Weekly Flows [USD] In Profit/Loss,https://charts.checkonchain.com/btconchain/etfs/etf_flows_profitloss_1_1w/etf_flows_profitloss_1_1w_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,"ETF Price, Volume, MVRV",Bitcoin ETF Daily Trade Volume,https://charts.checkonchain.com/btconchain/etfs/etf_volume/etf_volume_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,"ETF Price, Volume, MVRV",Bitcoin ETF Weekly Trade Volume,https://charts.checkonchain.com/btconchain/etfs/etf_volume_1w/etf_volume_1w_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,"ETF Price, Volume, MVRV",Bitcoin ETF Average Inflow Cost Basis and MVRV,https://charts.checkonchain.com/btconchain/etfs/etf_mvrv/etf_mvrv_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF Weekly Flows vs Price Performance,Bitcoin ETF Flows vs Price Performance 7-day,https://charts.checkonchain.com/btconchain/etfs/scatter_etf_flows_vsprice/scatter_etf_flows_vsprice_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Aggregate Market Volume,Comparison of Aggregate Volume Metrics,https://charts.checkonchain.com/btconchain/etfs/aggregate_volume/aggregate_volume_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Aggregate Market Volume,Comparison of Aggregate Volume Metrics,https://charts.checkonchain.com/btconchain/etfs/aggregate_volume_stacked/aggregate_volume_stacked_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF Market Size Comparison,Aggregate Capital Flows Into Bitcoin,https://charts.checkonchain.com/btconchain/entities/demandflow_comparison_30/demandflow_comparison_30_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF Market Size Comparison,Demand Inflow Estimates Since 2020-03-12,https://charts.checkonchain.com/btconchain/demand/inflowcomparison_2020-03-12/inflowcomparison_2020-03-12_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,ETF Market Size Comparison,The Cash & Carry Trade,https://charts.checkonchain.com/btconchain/derivatives/etf_cashcarry/etf_cashcarry_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Funding Rates,Bitcoin Perpetual Futures Funding Rates,https://charts.checkonchain.com/btconchain/derivatives/derivatives_futures_fundingrate/derivatives_futures_fundingrate_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Funding Rates,Annualised Futures Funding Rates vs SOPR,https://charts.checkonchain.com/btconchain/realised/sopr_fundingrate/sopr_fundingrate_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Funding Rates,Bitcoin Perpetual Futures Funding Rates Excessive Days,https://charts.checkonchain.com/btconchain/derivatives/derivatives_futures_fundingrate_sumdays/derivatives_futures_fundingrate_sumdays_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Funding Rates,Perpetual Futures Funding Rate Z-Score,https://charts.checkonchain.com/btconchain/derivatives/fundingrate_zscore/fundingrate_zscore_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Futures Open Interest,Bitcoin Futures Open Interest [USD],https://charts.checkonchain.com/btconchain/derivatives/derivatives_futures_oi_byexchange_0/derivatives_futures_oi_byexchange_0_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Futures Open Interest,Bitcoin Futures Open Interest [BTC],https://charts.checkonchain.com/btconchain/derivatives/derivatives_futures_oi_byexchange_1/derivatives_futures_oi_byexchange_1_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Futures Open Interest,Bitcoin Futures Open Interest [Dominance (%)],https://charts.checkonchain.com/btconchain/derivatives/derivatives_futures_oi_byexchange_2/derivatives_futures_oi_byexchange_2_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Futures Volume,Bitcoin Futures Volume [USD],https://charts.checkonchain.com/btconchain/derivatives/derivatives_futuresvolume_byexchange_0/derivatives_futuresvolume_byexchange_0_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Futures Volume,Bitcoin Futures Volume [BTC],https://charts.checkonchain.com/btconchain/derivatives/derivatives_futuresvolume_byexchange_1/derivatives_futuresvolume_byexchange_1_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Futures Volume,Bitcoin Futures Volume Dominance (%),https://charts.checkonchain.com/btconchain/derivatives/derivatives_futuresvolume_byexchange_2/derivatives_futuresvolume_byexchange_2_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Futures Volume,Bitcoin Futures Trade Volume [USD],https://charts.checkonchain.com/btconchain/derivatives/derivatives_futuresvolume/derivatives_futuresvolume_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Term Structure,Bitcoin CME Futures Contract Prices,https://charts.checkonchain.com/btconchain/derivatives/derivatives_cme_prices/derivatives_cme_prices_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Term Structure,Bitcoin Futures Term Structure Price,https://charts.checkonchain.com/btconchain/derivatives/derivatives_termstructure_0/derivatives_termstructure_0_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Term Structure,Bitcoin Futures Term Structure Premium (Annualised),https://charts.checkonchain.com/btconchain/derivatives/derivatives_termstructure_1/derivatives_termstructure_1_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Liquidations & Deleveraging,Bitcoin Futures Open Interest 7-day Change,https://charts.checkonchain.com/btconchain/derivatives/derivatives_futuresoi_1daychange/derivatives_futuresoi_1daychange_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Liquidations & Deleveraging,Bitcoin: Futures Liquidation Volumes,https://charts.checkonchain.com/btconchain/derivatives/derivatives_btc_liquidations/derivatives_btc_liquidations_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Liquidations & Deleveraging,Bitcoin: Long Liquidation Dominance,https://charts.checkonchain.com/btconchain/derivatives/derivatives_btc_longliqdominance/derivatives_btc_longliqdominance_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Liquidations & Deleveraging,Derivatives Leverage Ratio vs Market Cap,https://charts.checkonchain.com/btconchain/derivatives/leverageratio_0/leverageratio_0_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Liquidations & Deleveraging,Derivatives Leverage Ratio vs Market Cap,https://charts.checkonchain.com/btconchain/derivatives/leverageratio_1/leverageratio_1_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Options Metrics,Bitcoin Options Open Interest [USD],https://charts.checkonchain.com/btconchain/derivatives/derivatives_options_oi_byexchange_0/derivatives_options_oi_byexchange_0_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Options Metrics,Deribit Options Open Interest by Expiration,https://charts.checkonchain.com/btconchain/derivatives/options_expiry_oi/options_expiry_oi_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Options Metrics,Bitcoin Options Volume [USD],https://charts.checkonchain.com/btconchain/derivatives/derivatives_options_volume_byexchange_0/derivatives_options_volume_byexchange_0_light.html
